system:index,PLOTID,dw_2015_2018,dw_2015_2021,dw_2018_2021,me_2015_2018,me_2015_2021,me_2018_2021,.geo
00000000000000000483,id_50463720,11.0,11.0,11.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.797579427887591,59.89142587892446]}"
000000000000000004cb,id_52197226,11.0,11.0,11.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.797579427887591,59.89142587892446]}"
000000000000000006d2,id_14305845,11.0,11.0,11.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.797579427887591,59.89142587892446]}"
0000000000000000095d,id_661808,6.0,5.0,5.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.75202971062664,59.902190148867476]}"
00000000000000000359,id_80758215,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.742112669883777,59.85615884869273]}"
00000000000000000536,id_44127952,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.742112669883777,59.85615884869273]}"
0000000000000000064e,id_11684883,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.742112669883777,59.85615884869273]}"
000000000000000006ec,id_14856114,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.742112669883777,59.85615884869273]}"
0000000000000000082e,id_31433025,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.742112669883777,59.85615884869273]}"
00000000000000000593,id_46528768,16.0,15.0,15.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.784697084944186,60.02435168132767]}"
000000000000000003c0,id_8321889,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.874258129602646,59.961135005692974]}"
000000000000000005e1,id_40232181,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.874258129602646,59.961135005692974]}"
00000000000000000708,id_15366323,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.874258129602646,59.961135005692974]}"
00000000000000000025,id_75411291,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.640280179126236,60.01077371861993]}"
000000000000000007fb,id_30498334,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.640280179126236,60.01077371861993]}"
000000000000000007fe,id_30565089,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.640280179126236,60.01077371861993]}"
